"Test case name","Option","Runtime (s)","Test result","Actual LOC","Spec LOC","Proof LOC"
"src/test/evaluation/forall/descartes/defaultcookie.hhl","--forall","1.499476709","Passed","123","15","0"
"src/test/evaluation/forall/descartes/fileitem_false.hhl","--forall","1.616516312","Passed","27","19","0"
"src/test/evaluation/forall/descartes/namecomparator_false.hhl","--forall","1.815131226","Passed","108","21","0"
"src/test/evaluation/forall/descartes/datapoint_false.hhl","--forall","2.47534789","Passed","150","20","0"
"src/test/evaluation/forall/descartes/match_true.hhl","--forall","1.337381598","Passed","60","20","0"
"src/test/evaluation/forall/descartes/solution_false.hhl","--forall","3.332212832","Passed","174","22","0"
"src/test/evaluation/forall/descartes/match_false.hhl","--forall","1.786177917","Passed","48","20","0"
"src/test/evaluation/forall/descartes/contact_false.hhl","--forall","3.378862575","Passed","342","20","0"
"src/test/evaluation/forall/descartes/node_true.hhl","--forall","1.307746352","Passed","48","25","0"
"src/test/evaluation/forall/descartes/solution_true.hhl","--forall","7.989226338","Passed","174","21","0"
"src/test/evaluation/forall/descartes/node_false.hhl","--forall","1.664298841","Passed","48","25","0"
"src/test/evaluation/forall/descartes/time_true.hhl","--forall","1.327258512","Passed","69","18","0"
"src/test/evaluation/forall/descartes/fileitem_true.hhl","--forall","1.445679781","Passed","87","19","0"
"src/test/evaluation/forall/descartes/time_false.hhl","--forall","1.591198118","Passed","48","18","0"
"src/test/evaluation/forall/descartes/namecomparator_true.hhl","--forall","1.495733955","Passed","120","21","0"
"src/test/evaluation/forall/pcsat/double_square_ni.hhl","--forall","1.141617673","Passed","21","3","3"
"src/test/evaluation/forall/pcsat/squares_sum.hhl","--forall","1.044772377","Passed","12","4","1"
"src/test/evaluation/forall/pcsat/half_square_ni.hhl","--forall","1.094599193","Passed","20","2","4"
"src/test/evaluation/exists/orhle/httpRequest.hhl","","1.223551237","Passed","22","2","6"
"src/test/evaluation/exists/orhle/blackjack_donothing_false.hhl","","1.322323585","Passed","4","2","0"
"src/test/evaluation/exists/orhle/sleepAndContinue.hhl","","5.282406994","Passed","45","2","17"
"src/test/evaluation/exists/orhle/sandbox.hhl","","4.493346765","Passed","26","2","10"
"src/test/evaluation/exists/orhle/blackjack_once_false.hhl","","1.378474941","Passed","7","2","10"
"src/test/evaluation/exists/orhle/blackjack_until21.hhl","","3.709806664","Passed","11","2","3"
"src/test/evaluation/exists/descartes/node_false_exists.hhl","","3.109403447","Passed","16","9","0"
"src/test/evaluation/exists/descartes/contact_false_exists.hhl","","34.946414758","Passed","228","18","0"
"src/test/evaluation/exists/descartes/solution_false_exists.hhl","","7.196951114","Passed","58","9","0"
"src/test/evaluation/exists/descartes/namecomparator_false_exists.hhl","","1.512377695","Passed","36","7","0"
"src/test/evaluation/exists/descartes/match_false_exists.hhl","","19.159572308","Passed","32","17","0"
"src/test/evaluation/exists/descartes/datapoint_false_exists.hhl","","33.978455039","Passed","150","28","0"
"src/test/evaluation/exists/descartes/time_false_exists.hhl","","1.255998147","Passed","16","6","0"
"src/test/evaluation/exists/descartes/fileitem_false_exists.hhl","","3.161154976","Passed","9","9","0"
"src/test/evaluation/forall-exists/hypa/p4_gni.hhl","","1.080027948","Passed","11","1","1"
"src/test/evaluation/forall-exists/hypa/smaller.hhl","","1.119705336","Passed","13","1","4"
"src/test/evaluation/forall-exists/hypa/p2_gni.hhl","","1.616730591","Passed","9","1","1"
"src/test/evaluation/forall-exists/hypa/p1_simple.hhl","","1.11092542","Passed","11","1","3"
"src/test/evaluation/forall-exists/hypa/p3_gni.hhl","","1.116701025","Passed","12","1","3"
"src/test/evaluation/forall-exists/hypa/counter_sum.hhl","","1.172830913","Passed","10","2","2"
"src/test/evaluation/forall-exists/hypa/p1_gni.hhl","","1.092370153","Passed","11","1","1"
"src/test/evaluation/forall-exists/hypa/counter_diff.hhl","","1.071774374","Passed","10","1","2"
"src/test/evaluation/forall-exists/orhle/param-usage/even_odd_false.hhl","","1.339130451","Passed","4","2","0"
"src/test/evaluation/forall-exists/orhle/param-usage/semantically_unused.hhl","","1.353744846","Passed","8","8","0"
"src/test/evaluation/forall-exists/orhle/param-usage/nondet_unused.hhl","","1.495361955","Passed","14","8","2"
"src/test/evaluation/forall-exists/orhle/param-usage/coin_unused.hhl","","1.523451593","Passed","7","8","8"
"src/test/evaluation/forall-exists/orhle/param-usage/three_used_false.hhl","","31.448186402","Passed","4","15","0"
"src/test/evaluation/forall-exists/orhle/param-usage/det_unused.hhl","","0.954197965","Passed","4","2","0"
"src/test/evaluation/forall-exists/orhle/param-usage/nondet_used_false.hhl","","2.117620467","Passed","14","8","2"
"src/test/evaluation/forall-exists/orhle/gni/nondet_nonleak2.hhl","","1.068481589","Passed","11","4","2"
"src/test/evaluation/forall-exists/orhle/gni/simple_leak_false.hhl","","1.333820391","Passed","4","4","0"
"src/test/evaluation/forall-exists/orhle/gni/nondet_nonleak.hhl","","1.108637742","Passed","11","4","10"
"src/test/evaluation/forall-exists/orhle/gni/simple_non_leak.hhl","","0.986954384","Passed","6","4","0"
"src/test/evaluation/forall-exists/orhle/gni/smith1_false.hhl","","1.346363915","Passed","8","3","0"
"src/test/evaluation/forall-exists/orhle/gni/denning1.hhl","","1.231177517","Passed","24","4","3"
